Plasmid_1	organism_ID1	plasmid_clust1	Plasmid_2	plasmid_clust2	organism_ID2	ANI	aligned_fragments	fragments	Alignment_fraction	Alignment_fraction_perc	Same_cluster_1	Self_comparison	Multi_plasmid_isolate
AP012556.1	25	25	AP022580.1	U	277	75.0976	12	389	0.030848329	3.0848329	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	AP022607.1	U	44	74.111	106	389	0.272493573	27.2493573	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP092366.2	U	262	74.051	8	389	0.020565553	2.0565553	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	AP025528.1	29	154	73.9699	9	389	0.023136247	2.3136247	Not_Same_Cluster	Different_Contig	No
AP012556.1	25	25	CP079879.1	U	166	73.5823	1	389	0.002570694	0.2570694	Not_Same_Cluster	Different_Contig	No
AP017625.1	179	28	AP017625.1	28	179	100	218	333	0.654654655	65.4654655	28	Same_Contig	No
AP017625.1	179	28	AP026368.1	28	143	99.2849	114	333	0.342342342	34.2342342	28	Different_Contig	No
AP017625.1	179	28	EU271968.1	28	112	99.2773	166	333	0.498498498	49.8498498	28	Different_Contig	No
AP017625.1	179	28	CP083742.1	28	175	99.115	123	333	0.369369369	36.9369369	28	Different_Contig	No
AP017625.1	179	28	CP085201.1	28	174	99.013	123	333	0.369369369	36.9369369	28	Different_Contig	No
AP017625.1	179	28	BX649209.1	28	178	98.9514	139	333	0.417417417	41.7417417	28	Different_Contig	No
AP017625.1	179	28	CP103312.1	28	176	98.7972	90	333	0.27027027	27.027027	28	Different_Contig	No
AP018497.1	118	20	AP018497.1	20	118	100	254	254	1	100	20	Same_Contig	No
AP018497.1	118	20	HG917973.1	20	122	99.8035	226	254	0.88976378	88.976378	20	Different_Contig	No
AP018497.1	118	20	CP092982.1	20	121	99.7858	229	254	0.901574803	90.1574803	20	Different_Contig	No
AP018497.1	118	20	AP012556.1	25	25	83.1637	105	254	0.413385827	41.3385827	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP059000.1	25	16	82.9848	105	254	0.413385827	41.3385827	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP076859.1	25	17	82.7689	107	254	0.421259843	42.1259843	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP015268.1	27	85	82.5508	105	254	0.413385827	41.3385827	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP015279.1	27	87	82.4928	108	254	0.42519685	42.519685	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP076857.1	25	18	82.2746	113	254	0.44488189	44.488189	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP019224.1	1	84	81.7655	82	254	0.322834646	32.2834646	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	LT703507.1	1	93	81.7154	79	254	0.311023622	31.1023622	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP084593.1	1	91	81.6527	81	254	0.318897638	31.8897638	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP045964.1	1	90	81.6394	80	254	0.31496063	31.496063	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP015273.1	1	86	81.6366	82	254	0.322834646	32.2834646	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP084588.1	1	92	81.5755	83	254	0.326771654	32.6771654	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP029333.1	1	19	81.564	80	254	0.31496063	31.496063	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP023153.1	1	89	81.5387	81	254	0.318897638	31.8897638	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP015280.1	1	87	81.514	86	254	0.338582677	33.8582677	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP006836.1	1	101	81.442	82	254	0.322834646	32.2834646	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	JQ657805.1	1	98	81.3987	89	254	0.350393701	35.0393701	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	AP025525.1	1	154	80.1907	116	254	0.456692913	45.6692913	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP025547.1	U	130	77.2622	69	254	0.271653543	27.1653543	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	AP022607.1	U	44	74.4559	51	254	0.200787402	20.0787402	Not_Same_Cluster	Different_Contig	No
AP018497.1	118	20	CP079876.1	U	166	73.6233	5	254	0.019685039	1.9685039	Not_Same_Cluster	Different_Contig	No
AP020327.1	24	U	AP020327.1	U	24	100	379	382	0.992146597	99.2146597	Unclustered	Same_Contig	Yes
AP020327.1	24	U	CP003054.1	U	284	74.0457	93	382	0.243455497	24.3455497	Unclustered	Different_Contig	Yes
AP020327.1	24	U	AP022607.1	U	44	73.7802	116	382	0.303664921	30.3664921	Unclustered	Different_Contig	Yes
AP020327.1	24	U	CP092366.2	U	262	73.4719	8	382	0.020942408	2.0942408	Unclustered	Different_Contig	Yes
AP020327.1	24	U	CP016642.1	U	157	73.4709	10	382	0.02617801	2.617801	Unclustered	Different_Contig	Yes
AP020327.1	24	U	CP079879.1	U	166	73.3144	1	382	0.002617801	0.2617801	Unclustered	Different_Contig	Yes
AP020328.1	24	7	AP020328.1	7	24	100	78	78	1	100	7	Same_Contig	Yes
AP020328.1	24	7	CP015270.1	7	85	99.9458	61	78	0.782051282	78.2051282	7	Different_Contig	Yes
AP020328.1	24	7	CP022224.1	7	88	99.9161	63	78	0.807692308	80.7692308	7	Different_Contig	Yes
AP020328.1	24	7	CP015269.1	U	85	97.9455	17	78	0.217948718	21.7948718	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP012886.2	U	83	94.7957	22	78	0.282051282	28.2051282	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	LT703509.1	4	93	90.538	47	78	0.602564103	60.2564103	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP084594.1	4	91	90.383	46	78	0.58974359	58.974359	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP015274.1	4	86	90.349	44	78	0.564102564	56.4102564	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP019223.1	4	84	90.3322	46	78	0.58974359	58.974359	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP045965.1	4	90	90.2923	48	78	0.615384615	61.5384615	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP012888.2	6	83	86.0759	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP045968.1	6	90	82.6214	8	78	0.102564103	10.2564103	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	AP022585.1	U	125	82.5879	16	78	0.205128205	20.5128205	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP040246.1	18	22	82.2535	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP059001.1	18	16	82.2535	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP076861.1	6	17	81.7039	14	78	0.179487179	17.9487179	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP015277.1	6	86	81.607	9	78	0.115384615	11.5384615	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP092425.2	23	105	81.3413	9	78	0.115384615	11.5384615	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP022225.1	6	88	81.2197	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP084589.1	6	92	81.1499	11	78	0.141025641	14.1025641	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP015271.1	6	85	80.8137	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	AP020329.1	6	24	80.7601	11	78	0.141025641	14.1025641	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP084597.1	6	91	80.7601	11	78	0.141025641	14.1025641	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP040254.1	18	23	80.6262	13	78	0.166666667	16.6666667	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP015276.1	23	86	79.9837	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	LT703508.1	23	93	79.9837	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP084596.1	23	91	79.5595	10	78	0.128205128	12.8205128	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP084590.1	23	92	79.4017	11	78	0.141025641	14.1025641	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP045967.1	23	90	78.9894	9	78	0.115384615	11.5384615	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	AP025527.1	U	154	77.9844	9	78	0.115384615	11.5384615	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP023152.1	25	89	74.7072	16	78	0.205128205	20.5128205	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	AP022607.1	U	44	74.0792	21	78	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP003054.1	U	284	73.9081	21	78	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	CP079879.1	U	166	73.5368	1	78	0.012820513	1.2820513	Not_Same_Cluster	Different_Contig	Yes
AP020328.1	24	7	AP022592.1	U	273	73.5112	18	78	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP020329.1	6	24	100	26	26	1	100	6	Same_Contig	Yes
AP020329.1	24	6	CP084597.1	6	91	99.9944	25	26	0.961538462	96.1538462	6	Different_Contig	Yes
AP020329.1	24	6	CP022225.1	6	88	99.9904	25	26	0.961538462	96.1538462	6	Different_Contig	Yes
AP020329.1	24	6	CP015277.1	6	86	99.9904	25	26	0.961538462	96.1538462	6	Different_Contig	Yes
AP020329.1	24	6	CP045968.1	6	90	99.9904	25	26	0.961538462	96.1538462	6	Different_Contig	Yes
AP020329.1	24	6	CP084589.1	6	92	99.9858	26	26	1	100	6	Different_Contig	Yes
AP020329.1	24	6	CP012888.2	6	83	99.9533	26	26	1	100	6	Different_Contig	Yes
AP020329.1	24	6	CP015271.1	6	85	99.9111	25	26	0.961538462	96.1538462	6	Different_Contig	Yes
AP020329.1	24	6	CP076861.1	6	17	96.456	21	26	0.807692308	80.7692308	6	Different_Contig	Yes
AP020329.1	24	6	CP015276.1	23	86	86.0617	10	26	0.384615385	38.4615385	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP092425.2	23	105	86.0522	10	26	0.384615385	38.4615385	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP084590.1	23	92	85.5391	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP084596.1	23	91	85.4727	9	26	0.346153846	34.6153846	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	LT703508.1	23	93	85.3047	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP024252.1	18	131	85.1759	10	26	0.384615385	38.4615385	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP023150.1	18	59	85.1759	10	26	0.384615385	38.4615385	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP045967.1	23	90	85.0063	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP059001.1	18	16	84.3735	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040254.1	18	23	83.6651	13	26	0.5	50	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040246.1	18	22	83.6651	13	26	0.5	50	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP020328.1	7	24	82.8167	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040248.1	18	21	82.7545	10	26	0.384615385	38.4615385	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP022224.1	7	88	82.7441	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP084594.1	4	91	82.4886	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	LT703509.1	4	93	82.4886	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP045965.1	4	90	82.375	7	26	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP015274.1	4	86	81.9653	9	26	0.346153846	34.6153846	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP019223.1	4	84	81.9653	9	26	0.346153846	34.6153846	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP015270.1	7	85	81.8975	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP065049.1	U	103	80.456	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP076857.1	25	18	79.0032	6	26	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP012887.2	U	83	78.8484	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP025547.1	U	130	77.8024	7	26	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP025526.1	U	154	77.761	7	26	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP025549.1	U	130	77.6502	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040245.1	17	22	77.6363	6	26	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP022585.1	U	125	77.0472	11	26	0.423076923	42.3076923	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP084591.1	3	92	76.6876	6	26	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040253.1	17	23	76.6121	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP040249.1	17	21	76.612	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP065270.1	5	225	76.1295	6	26	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP025525.1	1	154	75.1615	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	AP022607.1	U	44	74.4338	8	26	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP003054.1	U	284	74.0722	7	26	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	Yes
AP020329.1	24	6	CP122996.1	U	274	73.6693	6	26	0.230769231	23.0769231	Not_Same_Cluster	Different_Contig	Yes
AP022566.1	271	U	AP022566.1	U	271	100	608	608	1	100	Unclustered	Same_Contig	No
AP022566.1	271	U	CP016643.1	8	157	75.5235	13	608	0.021381579	2.1381579	Not_Same_Cluster	Different_Contig	No
AP022566.1	271	U	CP063323.1	8	216	75.4114	14	608	0.023026316	2.3026316	Not_Same_Cluster	Different_Contig	No
AP022566.1	271	U	AP023364.1	30	349	73.8686	13	608	0.021381579	2.1381579	Not_Same_Cluster	Different_Contig	No
AP022566.1	271	U	AP023335.1	30	348	73.8686	13	608	0.021381579	2.1381579	Not_Same_Cluster	Different_Contig	No
AP022566.1	271	U	AP023365.1	15	349	73.6285	11	608	0.018092105	1.8092105	Not_Same_Cluster	Different_Contig	No
AP022566.1	271	U	AP023336.1	15	348	73.6209	12	608	0.019736842	1.9736842	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP022571.1	U	322	100	431	432	0.997685185	99.7685185	Unclustered	Same_Contig	No
AP022571.1	322	U	CP002386.1	U	298	89.9802	143	432	0.331018519	33.1018519	Unclustered	Different_Contig	No
AP022571.1	322	U	CP065048.1	9	103	89.2577	13	432	0.030092593	3.0092593	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024242.1	9	64	89.2577	13	432	0.030092593	3.0092593	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP085946.1	9	58	89.2577	13	432	0.030092593	3.0092593	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024249.1	9	65	89.2577	13	432	0.030092593	3.0092593	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024261.1	9	67	88.622	14	432	0.032407407	3.2407407	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024263.1	9	68	88.622	14	432	0.032407407	3.2407407	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024267.1	9	61	88.622	14	432	0.032407407	3.2407407	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP024246.1	9	66	88.4173	14	432	0.032407407	3.2407407	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP092428.2	U	326	82.0829	108	432	0.25	25	Unclustered	Different_Contig	No
AP022571.1	322	U	CP032156.1	U	158	81.4004	145	432	0.335648148	33.5648148	Unclustered	Different_Contig	No
AP022571.1	322	U	CP034180.1	19	182	78.7809	8	432	0.018518519	1.8518519	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP063322.1	U	216	78.0963	18	432	0.041666667	4.1666667	Unclustered	Different_Contig	No
AP022571.1	322	U	CP000895.1	19	123	77.7326	10	432	0.023148148	2.3148148	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CU458745.1	19	214	77.7326	10	432	0.023148148	2.3148148	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP003054.1	U	284	76.3366	116	432	0.268518519	26.8518519	Unclustered	Different_Contig	No
AP022571.1	322	U	AP022607.1	U	44	75.1944	118	432	0.273148148	27.3148148	Unclustered	Different_Contig	No
AP022571.1	322	U	AP025525.1	1	154	74.9648	95	432	0.219907407	21.9907407	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP076861.1	6	17	74.938	5	432	0.011574074	1.1574074	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	AP020329.1	6	24	74.7193	6	432	0.013888889	1.3888889	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP084597.1	6	91	74.7117	6	432	0.013888889	1.3888889	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP015271.1	6	85	74.4929	7	432	0.016203704	1.6203704	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP122999.1	U	274	74.1633	7	432	0.016203704	1.6203704	Unclustered	Different_Contig	No
AP022571.1	322	U	CP045967.1	23	90	74.1571	9	432	0.020833333	2.0833333	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP015276.1	23	86	74.1571	9	432	0.020833333	2.0833333	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP084590.1	23	92	74.147	9	432	0.020833333	2.0833333	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP063325.1	U	218	74.0919	9	432	0.020833333	2.0833333	Unclustered	Different_Contig	No
AP022571.1	322	U	CP084596.1	23	91	74.0817	10	432	0.023148148	2.3148148	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	LT703508.1	23	93	74.0729	10	432	0.023148148	2.3148148	Not_Same_Cluster	Different_Contig	No
AP022571.1	322	U	CP079879.1	U	166	73.7207	1	432	0.002314815	0.2314815	Unclustered	Different_Contig	No
AP022580.1	277	U	AP022580.1	U	277	100	43	43	1	100	Unclustered	Same_Contig	No
AP022580.1	277	U	CP081676.1	U	291	90.4768	24	43	0.558139535	55.8139535	Unclustered	Different_Contig	No
AP022580.1	277	U	CP084593.1	1	91	77.5223	9	43	0.209302326	20.9302326	Not_Same_Cluster	Different_Contig	No
AP022580.1	277	U	CP003054.1	U	284	76.8979	16	43	0.372093023	37.2093023	Unclustered	Different_Contig	No
AP022580.1	277	U	AP025525.1	1	154	76.3657	10	43	0.23255814	23.255814	Not_Same_Cluster	Different_Contig	No
AP022580.1	277	U	CP092428.2	U	326	75.3455	9	43	0.209302326	20.9302326	Unclustered	Different_Contig	No
AP022580.1	277	U	CP076857.1	25	18	75.3282	10	43	0.23255814	23.255814	Not_Same_Cluster	Different_Contig	No
AP022580.1	277	U	CP076859.1	25	17	75.3282	10	43	0.23255814	23.255814	Not_Same_Cluster	Different_Contig	No
AP022580.1	277	U	CP070974.1	U	52	75.1695	9	43	0.209302326	20.9302326	Unclustered	Different_Contig	No
AP022580.1	277	U	AP012556.1	25	25	74.7939	9	43	0.209302326	20.9302326	Not_Same_Cluster	Different_Contig	No
AP022580.1	277	U	CP025547.1	U	130	74.4016	9	43	0.209302326	20.9302326	Unclustered	Different_Contig	No
AP022580.1	277	U	AP022607.1	U	44	73.8301	14	43	0.325581395	32.5581395	Unclustered	Different_Contig	No
AP022585.1	125	U	AP022585.1	U	125	100	35	35	1	100	Unclustered	Same_Contig	No
AP022585.1	125	U	CP023150.1	18	59	88.8808	22	35	0.628571429	62.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	AP024252.1	18	131	88.72	22	35	0.628571429	62.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP059001.1	18	16	88.499	22	35	0.628571429	62.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP040254.1	18	23	88.1578	22	35	0.628571429	62.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP040246.1	18	22	88.0162	21	35	0.6	60	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP065049.1	U	103	87.9292	24	35	0.685714286	68.5714286	Unclustered	Different_Contig	No
AP022585.1	125	U	CP040248.1	18	21	87.1504	23	35	0.657142857	65.7142857	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP015270.1	7	85	83.6464	12	35	0.342857143	34.2857143	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP045965.1	4	90	82.5995	10	35	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	AP020328.1	7	24	82.3398	15	35	0.428571429	42.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP022224.1	7	88	82.3309	15	35	0.428571429	42.8571429	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	LT703509.1	4	93	81.5795	10	35	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP019223.1	4	84	81.3627	13	35	0.371428571	37.1428571	Not_Same_Cluster	Different_Contig	No
AP022585.1	125	U	CP084594.1	4	91	81.3627	13	35	0.371428571	37.1428571	Not_Same_Cluster	Different_Contig	No
