Replicon_Type	GenBank_Accession	Size	Plasmid_cluster	organism_ID	multi_plasmid_isolate
Plasmid	CP079864.1	49197	U	165	No
Plasmid	CP079870.1	134412	10	166	Yes
Plasmid	CP079871.1	70493	U	166	Yes
Plasmid	CP079872.1	70118	U	166	Yes
Plasmid	CP079873.1	25902	U	166	Yes
Plasmid	CP079874.1	18351	U	166	Yes
Plasmid	CP079875.1	12372	U	166	Yes
Plasmid	CP079876.1	12112	U	166	Yes
Plasmid	CP079877.1	5066	U	166	Yes
Plasmid	CP079878.1	2165	U	166	Yes
Plasmid	CP079879.1	1489	U	166	Yes
Plasmid	CP079868.1	128387	U	167	Yes
Plasmid	CP079867.1	114395	10	167	Yes
Plasmid	CP079866.1	29783	U	167	Yes
Plasmid	CP045326.1	125507	U	168	Yes
Plasmid	CP045327.1	110527	U	168	Yes
Plasmid	CP015597.1	252568	U	171	No
Plasmid	CP085201.1	161798	28	174	No
Plasmid	CP083743.1	132801	U	175	Yes
Plasmid	CP083742.1	102676	28	175	Yes
Plasmid	CP103312.1	74602	28	176	No
Plasmid	BX649209.1	174155	28	178	No
Plasmid	AP017625.1	166617	28	179	No
Plasmid	CP034180.1	15203	19	182	No
Plasmid	AP022622.1	119389	21	206	Yes
Plasmid	AP022623.1	38763	31	206	Yes
Plasmid	CU458745.1	23319	19	214	No
Plasmid	CP063321.1	31413	11	216	Yes
Plasmid	CP063322.1	27424	U	216	Yes
Plasmid	CP063323.1	23599	8	216	Yes
Plasmid	CP063325.1	19694	U	218	Yes
Plasmid	CP063326.1	18117	14	218	Yes
Plasmid	CP063329.1	18605	U	220	No
Plasmid	CP065184.1	18117	14	222	No
Plasmid	CP065270.1	25000	5	225	Yes
Plasmid	CP065271.1	18611	14	225	Yes
Plasmid	CP065277.1	31413	11	228	No
Plasmid	CP065281.1	24993	5	231	Yes
Plasmid	CP065282.1	9547	14	231	Yes
Plasmid	CP065286.1	155609	U	234	Yes
Plasmid	CP065285.1	112633	U	234	Yes
Plasmid	CP085920.1	23319	19	236	No
Plasmid	CP004375.1	172814	31	240	Yes
Plasmid	CP004376.1	97240	21	240	Yes
Plasmid	CP118918.1	137526	U	254	No
Plasmid	CP092366.2	14660	U	262	No
Plasmid	AP022566.1	304163	U	271	No
Plasmid	AP022592.1	434050	U	273	No
Plasmid	CP122996.1	181565	U	274	Yes
Plasmid	CP122995.1	168657	U	274	Yes
Plasmid	CP122997.1	99865	U	274	Yes
Plasmid	CP122998.1	23691	U	274	Yes
Plasmid	CP122999.1	16144	U	274	Yes
Plasmid	AP022580.1	21984	U	277	No
Plasmid	CP003054.1	615278	U	284	Yes
Plasmid	CP003055.1	143623	U	284	Yes
Plasmid	CP092363.2	199256	U	286	Yes
Plasmid	CP103314.1	18460	U	286	Yes
Plasmid	CP081674.1	148235	U	291	Yes
Plasmid	CP081675.1	91789	U	291	Yes
Plasmid	CP081676.1	23282	U	291	Yes
Plasmid	CP002386.1	211864	U	298	Yes
Plasmid	CP002387.1	23681	U	298	Yes
Plasmid	AP022611.1	228287	U	307	No
Plasmid	CP080334.1	29753	U	317	Yes
Plasmid	CP080335.1	28250	U	317	Yes
Plasmid	AP022571.1	216341	U	322	No
Plasmid	CP092428.2	264010	U	326	Yes
Plasmid	CP103313.1	92928	U	326	Yes
Plasmid	AP023334.1	266554	16	348	Yes
Plasmid	AP023335.1	27227	30	348	Yes
Plasmid	AP023336.1	26205	15	348	Yes
Plasmid	AP023363.1	277627	16	349	Yes
Plasmid	AP023364.1	25107	30	349	Yes
Plasmid	AP023365.1	24171	15	349	Yes
